generated_tokens,gamma,delta,perplexity,green_fraction,z_score,p_value,prediction
200,0.25,1.0,7.29389671254314,0.41,5.225578117937447,8.680590135590194e-08,True
200,0.25,1.0,5.240646911592028,0.43,5.878775382679628,2.066563808966748e-09,True
200,0.25,1.0,13.847254563776339,0.555,9.961258287318257,0.0,True
200,0.25,1.0,6.994988459413878,0.415,5.388877434122992,3.5449567614698196e-08,True
200,0.25,1.0,9.094743502124881,0.48,7.511768544535079,2.90878432451791e-14,True
200,0.25,1.0,6.7964295306756295,0.37,3.9191835884530852,4.4424709557233655e-05,False
200,0.25,1.0,7.2471346776572405,0.485,7.675067860720625,8.215650382226158e-15,True
200,0.25,1.0,7.8225411060032615,0.43,5.878775382679628,2.066563808966748e-09,True
200,0.25,1.0,9.75696571740474,0.525,8.981462390204987,0.0,True
200,0.25,1.0,6.252341122108979,0.46,6.858571279792899,3.4776626023358403e-12,True
200,0.25,1.0,1.7106529087669746,0.69,14.370339824327978,0.0,True
200,0.25,1.0,6.995064487705905,0.45,6.531972647421808,3.2454483545052426e-11,True
200,0.25,1.0,9.963383402911587,0.51,8.49156444164835,0.0,True
200,0.25,1.0,7.331789508381378,0.43,5.878775382679628,2.066563808966748e-09,True
200,0.25,1.0,10.013944705344265,0.46,6.858571279792899,3.4776626023358403e-12,True
200,0.25,1.0,8.018585419879818,0.42,5.552176750308537,1.4106705359395733e-08,True
200,0.25,1.0,6.544347091068756,0.42,5.552176750308537,1.4106705359395733e-08,True
200,0.5,1.0,8.589846439558379,0.69,5.374011537017761,3.850196372834347e-08,True
200,0.5,1.0,6.045432134532707,0.66,4.525483399593904,3.012880575914423e-06,False
200,0.5,1.0,5.1091998392213105,0.705,5.79827560572969,3.3500138219011433e-09,True
200,0.5,1.0,5.082481231071328,0.69,5.374011537017761,3.850196372834347e-08,True
200,0.5,1.0,9.718120014240743,0.71,5.939696961966999,1.4277470317125562e-09,True
200,0.5,1.0,8.571181739444798,0.695,5.5154328932550705,1.739612431883586e-08,True
200,0.5,1.0,5.541906645297493,0.665,4.666904755831213,1.528854898236176e-06,False
200,0.5,1.0,6.908456007174914,0.715,6.081118318204308,5.967358829295222e-10,True
200,0.5,1.0,2.8510739798830307,0.74,6.788225099390856,5.676126235698575e-12,True
200,0.5,1.0,5.2570480355090865,0.765,7.495331880577403,3.3084646133829665e-14,True
200,0.5,1.0,10.194849768719886,0.615,3.2526911934581184,0.0005715882986783161,False
200,0.5,1.0,11.16328509156131,0.715,6.081118318204308,5.967358829295222e-10,True
200,0.5,1.0,12.826775866547528,0.735,6.646803743153546,1.4976242468378587e-11,True
200,0.5,1.0,4.082770420862748,0.675,4.949747468305833,3.7154918619553e-07,False
200,0.5,1.0,6.853328216364533,0.7,5.65685424949238,7.708628957381336e-09,True
200,0.5,1.0,7.848390510497031,0.705,5.79827560572969,3.3500138219011433e-09,True
200,0.5,1.0,4.995415556726744,0.655,4.384062043356595,5.82432868356797e-06,False
200,0.25,2.0,8.882222603275764,0.64,12.737346662472527,0.0,True
200,0.25,2.0,7.134791647530413,0.535,9.308061022576076,0.0,True
200,0.25,2.0,4.493770254520669,0.67,13.717142559585797,0.0,True
