generated_tokens,gamma,delta,green_fraction,z_score,p_value,prediction
5,0.1,5.0,0.6,3.7267799624996494,9.697081455184442e-05,False
10,0.1,5.0,0.8,7.378647873726218,7.993605777301127e-14,True
15,0.1,5.0,0.7333333333333333,8.17629817532677,2.220446049250313e-16,True
20,0.1,5.0,0.7,8.94427190999916,0.0,True
25,0.1,5.0,0.76,11.0,0.0,True
30,0.1,5.0,0.7666666666666667,12.171612389003691,0.0,True
35,0.1,5.0,0.7714285714285715,13.240749990746759,0.0,True
40,0.1,5.0,0.8,14.757295747452437,0.0,True
45,0.1,5.0,0.8,15.652475842498529,0.0,True
50,0.1,5.0,0.8,16.49915822768611,0.0,True
55,0.1,5.0,0.8181818181818182,17.75392971153204,0.0,True
60,0.1,5.0,0.8166666666666667,18.504253765213214,0.0,True
65,0.1,5.0,0.8307692307692308,19.63883297662467,0.0,True
70,0.1,5.0,0.8428571428571429,20.71729589512949,0.0,True
75,0.1,5.0,0.84,21.361959960016154,0.0,True
80,0.1,5.0,0.825,21.615323782497967,0.0,True
85,0.1,5.0,0.8117647058823529,21.873821163381162,0.0,True
90,0.1,5.0,0.8111111111111111,22.48730780564181,0.0,True
95,0.1,5.0,0.8105263157894737,23.084512921915966,0.0,True
100,0.1,5.0,0.82,24.0,0.0,True
105,0.1,5.0,0.8285714285714286,24.885451860187597,0.0,True
110,0.1,5.0,0.8363636363636363,25.74348990963099,0.0,True
115,0.1,5.0,0.8347826086956521,26.265552098768836,0.0,True
120,0.1,5.0,0.8416666666666667,27.081837565533213,0.0,True
125,0.1,5.0,0.832,27.280029325497434,0.0,True
130,0.1,5.0,0.823076923076923,27.48115127162025,0.0,True
135,0.1,5.0,0.8296296296296296,28.258434044550413,0.0,True
140,0.1,5.0,0.8357142857142857,29.016962745679066,0.0,True
145,0.1,5.0,0.8275862068965517,29.204327081898555,0.0,True
150,0.1,5.0,0.82,29.393876913398135,0.0,True
155,0.1,5.0,0.8193548387096774,29.852985057542874,0.0,True
160,0.1,5.0,0.825,30.568684048294333,0.0,True
165,0.1,5.0,0.8242424242424242,31.010207942434,0.0,True
170,0.1,5.0,0.8294117647058824,31.701219539024645,0.0,True
175,0.1,5.0,0.8228571428571428,31.875003890444827,0.0,True
180,0.1,5.0,0.8222222222222222,32.298759674996965,0.0,True
185,0.1,5.0,0.827027027027027,32.96212222387238,0.0,True
190,0.1,5.0,0.8315789473684211,33.61373292176387,0.0,True
195,0.1,5.0,0.8358974358974359,34.25416147488621,0.0,True
200,0.1,5.0,0.83,34.41253001774532,0.0,True
205,0.1,5.0,0.8195121951219512,34.33948954200426,0.0,True
210,0.1,5.0,0.819047619047619,34.73329982023183,0.0,True
5,0.1,5.0,0.6,3.7267799624996494,9.697081455184442e-05,False
10,0.1,5.0,0.7,6.324555320336759,1.269814253745949e-10,True
15,0.1,5.0,0.7333333333333333,8.17629817532677,2.220446049250313e-16,True
20,0.1,5.0,0.75,9.689627902499089,0.0,True
25,0.1,5.0,0.76,11.0,0.0,True
30,0.1,5.0,0.7333333333333333,11.563031769553506,0.0,True
35,0.1,5.0,0.7428571428571429,12.677313820927749,0.0,True
40,0.1,5.0,0.725,13.176156917368248,0.0,True
45,0.1,5.0,0.7111111111111111,13.664859862498716,0.0,True
50,0.1,5.0,0.72,14.613540144521984,0.0,True
55,0.1,5.0,0.7090909090909091,15.057130261679072,0.0,True
60,0.1,5.0,0.7333333333333333,16.35259635065354,0.0,True
65,0.1,5.0,0.7538461538461538,17.57158740013786,0.0,True
70,0.1,5.0,0.7428571428571429,17.928429140015904,0.0,True
75,0.1,5.0,0.7333333333333333,18.28275852433815,0.0,True
80,0.1,5.0,0.725,18.633899812498246,0.0,True
85,0.1,5.0,0.7058823529411765,18.61986429610132,0.0,True
90,0.1,5.0,0.6888888888888889,18.622301776547122,0.0,True
95,0.1,5.0,0.6842105263157895,18.980599513575353,0.0,True
100,0.1,5.0,0.67,19.0,0.0,True
105,0.1,5.0,0.6761904761904762,19.68065147112875,0.0,True
110,0.1,5.0,0.6909090909090909,20.658356100321164,0.0,True
115,0.1,5.0,0.7043478260869566,21.60302805756727,0.0,True
120,0.1,5.0,0.7166666666666667,22.51748291965683,0.0,True
125,0.1,5.0,0.704,22.509750973497884,0.0,True
130,0.1,5.0,0.7153846153846154,23.388213848187444,0.0,True
135,0.1,5.0,0.7185185185185186,23.955119215431058,0.0,True
140,0.1,5.0,0.7285714285714285,24.791191472036484,0.0,True
145,0.1,5.0,0.7379310344827587,25.605689621569823,0.0,True
150,0.1,5.0,0.7333333333333333,25.855725062711322,0.0,True
5,0.1,5.0,1.0,6.708203932499369,9.851675031313789e-12,True
10,0.1,5.0,0.9,8.432740427115679,0.0,True
15,0.1,5.0,0.8666666666666667,9.89762410697451,0.0,True
20,0.1,5.0,0.9,11.925695879998878,0.0,True
25,0.1,5.0,0.88,13.0,0.0,True
30,0.1,5.0,0.9,14.605934866804429,0.0,True
35,0.1,5.0,0.8857142857142857,15.494494670022803,0.0,True
40,0.1,5.0,0.9,16.865480854231357,0.0,True
45,0.1,5.0,0.8888888888888888,17.64009182249834,0.0,True
50,0.1,5.0,0.9,18.856180831641268,0.0,True
55,0.1,5.0,0.8909090909090909,19.551796011434018,0.0,True
60,0.1,5.0,0.9,20.65591117977289,0.0,True
65,0.1,5.0,0.8923076923076924,21.292629437814117,0.0,True
70,0.1,5.0,0.8857142857142857,21.91252450446388,0.0,True
